country,period,periodstart,periodend,code,bdgdpg,elrgdpg,bdgdp,elrgdp,bdbb,elrbb,bdinfl,elrinfl,bdsacw,elrsacw,bdethnf,elrethnf,bdassas,elrassas,bdicrge,elricrge,bdm21,elrm21,bdssa,elrssa,bddn1900,elrdn1900,bdaid,elraid,bdlpop,elrlpop,bdeasia,elreasia,bdegypt,elregypt,bdcentam,elrcentam,bdfrz,elrfrz,bdarms1,elrarms1,originalcountries,bddatap,bddatao,elrdatabdcos7093bdvarsp,elrdatabdcos7093bdvarso,elrdatabdcos7097bdvarsp,elrdatabdcos7097bdvarso,elrdata7093bdvarsp,elrdata7093bdvarso,elrdata7097bdvarsp,elrdata7097bdvarso
LKA,6,1986,1989,LKA6,1.1898460388183594,1.2096580266952515,2048,2048,-0.09861759841442108,-0.10041960328817368,0.0978735014796257,0.09787359833717346,0,0,0.4699999988079071,0.4699999988079071,1,1,4.325520992279053,4.766666889190674,31.12565040588379,28.674970626831055,0,0,0,0,1.3428930044174194,1.1488629579544067,16.628639221191406,16.616790771484375,0,0,0,0,0,0,0,0,0.824999988079071,0.0064476002007722855,1,0.46601641178131104,0,0.9319713711738586,0,0.9579781889915466,0,0.725382387638092,0,0.7951332926750183,0
LKA,7,1990,1993,LKA7,4.1670660972595215,4.303175926208496,2096,2096,-0.0719510018825531,-0.07269539684057236,0.13213999569416046,0.1321406066417694,0.75,0.5,0.4699999988079071,0.4699999988079071,1.25,1.25,4.325520992279053,4.766666889190674,30.515600204467773,29.047510147094727,0,0,0,0,1.3218389749526978,1.1342049837112427,16.681060791015625,16.668350219726562,0,0,0,0,0,0,0,0,1.0750000476837158,0.012019800022244453,1,2.218092918395996,0,2.135571002960205,0,1.8778330087661743,0,1.8780159950256348,0,1.623844027519226,0
LKA,8,1994,1997,LKA8,NA,4.024055004119873,NA,2500.43408203125,NA,-0.07282090187072754,NA,0.09858659654855728,NA,1,NA,0.4699999988079071,NA,1.25,NA,4.766666889190674,NA,27.833820343017578,NA,0,NA,0,NA,0.6100804805755615,NA,16.71847915649414,NA,0,NA,0,NA,0,NA,0,NA,0.008426699787378311,1,NA,0,3.433474063873291,NA,2.8466858863830566,0,3.030345916748047,NA,2.4158101081848145,0
LSO,1,1966,1969,LSO1,0.7846946120262146,0.8770611882209778,486,486,NA,NA,NA,NA,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,13.860320091247559,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,2,1970,1973,LSO2,8.721902847290039,6.188918113708496,419,419,0.00985720008611679,0.008416599594056606,NA,NA,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,NA,0,1,0,0,7.277037143707275,0.31413039565086365,NA,13.941699981689453,0,0,NA,0,NA,0,NA,0,NA,-0.07018090039491653,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,3,1974,1977,LSO3,4.228353977203369,5.326168060302734,718,718,-0.026895999908447266,-0.02296530082821846,0.1303115040063858,0.1303109973669052,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,NA,0,1,0,0,4.385636806488037,2.5249149799346924,NA,14.026029586791992,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,4,1978,1981,LSO4,1.8496570587158203,2.527297019958496,975,975,NA,NA,0.13230000436306,0.13568440079689026,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,13.105799674987793,0,1,0,0,5.532158851623535,3.91497802734375,NA,14.11343002319336,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,5,1982,1985,LSO5,-1.3758749961853027,1.4543410539627075,1029,1029,NA,-0.052858199924230576,0.12626250088214874,0.12626199424266815,NA,NA,NA,0.2199999988079071,NA,0.25,NA,NA,NA,23.04408073425293,0,1,0,0,6.123929977416992,4.109859943389893,NA,14.20205020904541,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,6,1986,1989,LSO6,4.899991989135742,3.600645065307617,928,928,-0.15638339519500732,-0.13911710679531097,0.13062770664691925,0.1306280940771103,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,41.9315299987793,0,1,0,0,5.7969441413879395,3.7425320148468018,NA,14.286849975585938,0,0,NA,0,NA,0,NA,0,NA,0.008335599675774574,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,7,1990,1993,LSO7,0.6731628775596619,2.566551923751831,972,972,-0.008108999580144882,0.018571799620985985,0.13876239955425262,0.13876180350780487,NA,NA,NA,0.2199999988079071,NA,0,NA,NA,NA,40.88513946533203,0,1,0,0,5.793064117431641,4.3764472007751465,NA,14.365509986877441,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LSO,8,1994,1997,LSO8,NA,4.279604911804199,NA,1021.8070068359375,NA,0.03675549849867821,NA,0.08560340106487274,NA,NA,NA,0.2199999988079071,NA,0.25,NA,NA,NA,32.586151123046875,NA,1,NA,0,NA,2.6573948860168457,NA,14.450369834899902,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LTU,1,1966,1969,LTU1,8.245278358459473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,14.932239532470703,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LTU,2,1970,1973,LTU2,4.990896224975586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,14.974820137023926,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LTU,3,1974,1977,LTU3,4.014063835144043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,15.013279914855957,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LTU,4,1978,1981,LTU4,4.6092000007629395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,15.04146957397461,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LTU,5,1982,1985,LTU5,-2.7036550045013428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,15.068300247192383,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
