"imwbcnt","imwbcrm","imdetbs","imdetmr","smegbli","smegbhw","almuslv","gndr","agea","edlvdno","trstplt","lrscale"
4,1,0,0,2,2,2,1,21,6,6,6
7,5,0,0,2,2,2,2,30,6,4,7
5,3,5,3,2,2,4,2,69,3,4,5
8,2,0,0,2,2,1,2,43,5,4,7
7,5,2,2,2,2,2,1,47,9,8,7
5,0,0,0,2,1,2,2,58,6,4,5
7,1,0,0,2,1,2,2,58,3,5,4
5,10,0,NA,2,2,4,1,95,3,0,4
7,4,1,0,2,2,2,1,36,6,7,4
10,3,0,0,2,2,1,2,39,10,6,4
7,3,5,5,2,2,3,1,57,10,8,4
8,5,2,0,2,2,2,2,60,10,5,3
5,4,5,2,2,2,2,2,16,3,4,4
4,9,8,7,2,2,4,2,57,6,7,6
5,7,1,0,2,2,1,2,66,5,4,6
4,2,4,4,2,2,3,1,52,8,5,4
8,4,0,0,2,1,2,1,30,10,5,3
4,3,5,4,2,2,3,1,72,11,2,8
5,3,2,0,2,1,2,2,65,6,6,6
3,0,1,0,2,2,3,2,32,13,7,5
8,5,0,0,2,2,1,2,44,13,8,2
7,0,1,1,2,2,2,1,32,10,6,6
7,3,0,0,2,2,1,1,32,12,6,7
8,3,0,2,2,2,2,2,53,6,6,3
5,5,3,2,2,2,2,1,24,11,7,3
5,2,1,1,2,2,1,2,70,3,7,2
7,3,2,2,2,2,2,1,78,3,7,7
7,NA,0,0,2,2,1,2,18,3,7,5
0,0,0,0,2,2,4,2,64,3,0,0
4,2,5,10,2,2,4,2,75,3,5,6
7,5,0,0,2,2,1,1,56,6,5,3
3,1,2,7,2,2,3,2,29,6,3,2
5,5,3,2,2,2,4,2,54,6,5,5
8,5,0,0,2,2,1,2,44,10,6,5
8,4,0,0,2,2,2,1,53,6,7,5
5,6,3,3,2,2,2,1,72,8,5,6
4,2,3,1,2,2,3,1,27,5,4,8
8,6,1,1,2,1,2,2,62,6,8,NA
6,7,5,5,2,2,2,1,41,6,7,5
5,7,5,6,2,2,3,1,84,9,7,7
5,4,0,0,2,2,2,1,39,8,6,6
5,4,0,6,2,2,2,2,62,10,5,2
5,4,0,0,2,2,2,1,21,6,5,7
7,5,3,2,2,2,1,2,61,3,7,4
5,3,2,2,2,2,2,1,48,11,6,3
4,1,5,8,2,2,4,1,78,10,6,10
3,0,0,1,2,2,3,1,46,6,6,7
6,2,3,0,2,2,2,1,65,9,6,6
10,3,2,1,2,2,2,1,23,8,6,3
5,3,2,1,2,2,2,2,38,10,5,2
4,3,0,5,2,1,3,1,35,6,4,6
5,0,3,0,2,1,3,1,15,2,5,7
9,5,0,0,2,2,3,1,19,6,1,5
6,2,8,6,2,1,4,1,51,5,0,3
7,4,0,0,1,1,2,1,46,6,6,6
8,5,0,0,2,2,1,2,37,10,6,6
4,2,7,10,2,1,3,1,67,6,3,5
5,3,2,2,2,2,2,1,65,5,6,2
5,3,2,5,2,2,3,1,51,6,5,7
5,1,0,0,2,2,1,2,42,6,6,3
7,6,8,7,2,1,3,2,65,6,4,5
7,3,4,5,2,2,2,1,67,13,6,7
8,4,1,1,2,2,3,1,57,6,7,4
5,2,0,0,2,2,3,2,51,9,6,5
7,7,0,0,2,1,2,1,15,3,9,6
9,5,0,0,2,2,2,2,24,4,9,7
7,3,5,0,2,1,2,1,17,3,6,4
5,3,3,3,2,2,2,1,70,3,6,5
5,5,0,0,2,2,1,1,28,8,2,4
4,2,5,7,2,2,3,2,39,3,2,5
5,3,3,3,2,2,3,1,54,6,6,5
3,3,4,3,2,2,4,2,72,5,6,9
5,3,0,2,2,2,2,1,29,3,7,5
1,1,4,10,2,2,4,2,44,10,6,5
7,3,0,0,2,2,2,1,41,11,8,5
5,3,1,1,2,2,1,1,34,11,6,6
3,0,2,2,2,1,4,2,79,11,3,8
5,1,4,10,2,2,4,1,82,6,5,4
6,3,2,0,2,2,2,2,35,10,8,4
8,5,2,1,2,2,2,1,39,9,6,3
5,2,0,0,2,2,2,1,60,6,5,4
5,4,1,4,2,2,2,2,57,10,4,7
6,3,2,0,2,1,2,1,16,3,6,3
5,1,3,4,2,2,2,2,57,6,6,4
8,3,0,4,2,1,3,1,69,6,6,6
5,2,0,0,2,1,2,2,25,6,3,3
5,3,0,0,2,1,2,2,32,11,6,3
6,4,1,1,2,1,2,2,19,6,9,4
7,5,4,3,2,1,3,2,50,6,6,5
5,5,5,5,2,2,4,1,68,3,5,5
5,3,2,3,2,1,2,1,65,10,5,3
6,4,0,0,2,2,2,1,21,5,5,5
10,0,0,0,2,2,3,1,42,9,4,7
5,5,0,0,2,1,1,2,32,6,5,6
5,1,2,5,2,2,3,2,33,5,6,9
5,5,5,5,2,2,2,1,56,13,5,2
9,3,0,0,2,2,1,1,36,5,4,2
6,4,0,5,2,2,2,2,28,12,7,2
5,3,5,3,2,2,3,2,68,5,8,7
3,0,5,2,2,2,3,2,46,13,5,4
8,2,0,0,2,2,1,1,46,10,4,4
1,0,0,0,2,1,1,2,69,3,7,3
10,5,0,0,2,2,1,2,43,13,5,4
5,2,3,6,2,2,2,1,51,10,5,5
4,3,NA,NA,NA,NA,3,1,73,6,5,5
NA,NA,NA,NA,1,1,NA,2,52,5,10,NA
8,8,0,0,2,2,NA,2,81,3,5,8
5,3,0,0,2,2,1,1,56,7,4,4
8,NA,1,2,2,2,1,1,81,13,NA,6
8,6,0,1,2,2,1,2,22,9,7,7
5,1,0,0,2,NA,3,2,77,6,3,NA
7,5,1,1,2,2,1,2,51,13,7,3
9,7,1,5,2,2,2,1,65,10,6,3
8,7,1,1,2,2,2,1,57,3,8,2
6,2,2,1,2,1,2,2,16,3,3,5
5,2,0,0,2,2,2,1,69,8,2,7
6,4,4,2,2,1,2,2,46,6,6,6
7,6,0,0,2,2,2,1,47,10,6,7
5,1,1,1,2,1,4,1,82,3,5,3
4,1,0,0,2,1,3,1,19,4,4,8
4,3,4,3,2,1,2,2,27,6,6,4
7,3,0,0,2,2,2,2,44,6,6,3
8,5,0,0,2,2,3,1,57,10,7,7
6,5,3,4,2,2,2,2,48,10,7,3
3,2,4,2,2,2,3,2,40,10,5,8
8,7,0,0,2,1,1,1,15,3,5,6
9,5,0,0,2,2,1,2,53,5,7,5
6,1,1,1,2,2,3,1,76,6,7,10
2,1,0,0,2,1,3,2,26,6,2,4
5,4,6,1,2,2,3,1,17,3,5,5
4,4,2,1,2,2,3,2,18,6,2,9
5,1,2,9,2,2,NA,2,78,3,2,4
5,5,0,0,2,2,3,1,51,6,3,5
5,4,3,3,2,1,4,1,70,2,4,5
5,3,0,0,2,1,3,1,51,3,0,5
7,4,2,2,2,2,1,2,58,6,6,3
1,0,1,10,2,2,4,1,69,6,2,10
5,6,6,3,2,2,3,2,70,10,4,6
3,3,5,3,2,2,3,1,16,3,3,4
1,1,8,8,1,2,4,1,34,11,2,7
7,5,3,3,2,2,2,1,68,13,7,1
8,4,0,0,2,2,2,1,53,3,6,1
6,5,1,0,2,2,1,2,44,10,7,4
4,4,5,1,2,1,2,2,31,6,4,NA
2,0,1,5,2,2,3,1,32,5,5,6
4,2,7,8,2,1,2,1,42,3,3,6
4,0,5,2,2,2,3,1,41,6,2,6
7,2,7,4,2,2,4,2,51,9,5,3
3,3,2,2,2,1,2,2,49,6,5,6
6,2,0,0,2,2,2,1,54,5,6,2
5,4,2,0,2,2,2,2,25,10,5,5
2,8,0,0,2,1,4,2,39,6,1,6
5,7,3,0,2,2,2,1,19,6,5,3
1,1,0,0,2,1,2,2,65,5,2,2
6,5,2,3,2,1,2,1,52,9,6,4
2,0,0,5,2,2,2,2,67,4,4,5
5,5,0,0,2,2,2,1,20,6,6,5
5,1,2,3,2,1,4,2,69,3,2,2
8,3,0,0,2,2,2,1,18,3,7,3
3,2,8,6,2,1,3,1,61,6,5,7
5,4,0,0,2,2,2,1,17,3,5,5
7,4,2,2,2,2,2,1,25,3,5,2
6,4,0,0,2,2,2,2,55,9,7,7
6,4,0,0,2,2,1,2,21,5,6,4
2,2,0,0,2,2,4,1,36,3,3,3
6,3,2,1,2,2,2,2,56,6,5,3
5,7,6,4,2,2,4,2,51,6,5,6
5,1,5,0,2,1,4,2,80,3,3,6
5,5,0,1,2,2,3,2,63,3,5,5
6,6,2,0,2,2,2,2,19,5,5,4
4,2,3,7,2,NA,3,1,81,9,1,7
0,0,2,0,2,1,4,1,63,6,0,5
5,4,5,2,2,2,2,2,28,13,6,2
8,4,4,3,2,2,3,1,55,6,6,3
6,5,3,1,2,2,2,2,48,10,4,6
0,0,10,10,1,2,4,1,55,6,1,10
6,4,3,1,2,1,2,2,40,9,4,4
9,2,1,1,2,1,2,1,52,13,5,NA
7,5,0,0,2,2,2,2,67,8,6,1
5,4,5,4,2,1,4,2,67,8,5,4
NA,4,6,5,2,2,4,2,61,13,6,NA
6,2,6,6,2,2,2,2,54,10,5,7
3,2,1,1,2,2,3,1,51,9,4,6
8,3,0,0,2,2,1,2,20,5,8,2
6,3,6,5,2,2,2,1,68,5,5,5
6,5,0,0,2,1,2,1,15,2,7,5
5,2,0,0,2,2,3,2,21,8,4,5
4,5,6,8,2,2,4,2,68,3,4,5
5,5,5,6,2,2,2,1,38,6,5,6
8,7,0,0,2,2,3,2,75,10,7,5
4,1,1,1,2,2,3,2,42,5,3,6
5,3,3,5,2,1,2,2,61,9,8,5
6,3,0,0,2,1,3,2,70,3,3,5
9,3,0,0,2,1,1,2,50,6,2,5
3,1,3,5,2,2,3,2,53,9,5,4
7,4,0,0,2,2,2,1,33,13,8,3
6,2,2,1,2,2,2,1,32,10,6,6
4,3,9,8,1,2,4,1,61,6,7,5
7,3,0,2,2,2,1,1,15,1,4,5
5,4,0,0,2,2,2,2,32,13,4,5
5,3,6,3,2,2,2,2,85,3,6,4
2,4,4,4,1,2,2,1,18,3,4,4
5,3,1,1,2,2,2,2,24,10,3,4
2,1,7,7,2,2,4,1,46,6,5,5
0,0,0,0,2,2,3,1,37,6,3,5
5,3,6,8,2,1,3,2,48,6,5,6
5,5,0,0,2,2,3,1,54,9,0,2
3,2,5,4,2,2,3,2,63,6,4,3
4,3,3,0,1,1,2,1,19,5,3,7
5,4,NA,NA,NA,1,NA,1,88,6,5,5
6,3,0,0,2,2,2,1,18,3,7,4
5,2,2,2,2,2,3,1,66,NA,5,2
5,5,0,0,2,1,1,2,18,3,6,6
8,5,1,1,2,1,3,2,61,6,9,5
4,3,5,5,2,1,4,2,79,2,7,5
5,3,5,2,2,2,2,2,43,10,7,8
5,2,0,0,2,2,2,1,28,8,2,4
8,1,0,0,2,2,3,1,50,12,6,10
