country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Bolivia,1975,0,0,7.980182647705078,15.384126663208008,0.026057446375489235,6.53000020980835,13.600000381469727,0,0,0
Bolivia,1976,0,0,8.024762153625488,15.404746055603027,0.04558790102601051,8.130000114440918,15.5,0,0,0
Bolivia,1977,3.2227964401245117,0,8.042847633361816,15.424948692321777,0.018250785768032074,10.880000114440918,21.799999237060547,0,0,0
Bolivia,1978,4.91641092300415,0,8.054570198059082,15.444750785827637,0.011791238561272621,13.449999809265137,19,0,0,0
Bolivia,1979,4.481447219848633,0,8.052416801452637,15.4641695022583,-0.0021514061372727156,19.270000457763672,24.899999618530273,0,0,0.18000000715255737
Bolivia,1980,4.870127201080322,0,8.023969650268555,15.501909255981445,-0.02804567851126194,40.310001373291016,34.400001525878906,0,0,0
Bolivia,1981,3.8913381099700928,0,8.013188362121582,15.520258903503418,-0.010724188759922981,29.6200008392334,29.400001525878906,0,0,0
Bolivia,1982,2.3399906158447266,0,7.962613582611084,15.538277626037598,-0.04931678995490074,159.36000061035156,34,0,0,0.17000000178813934
Bolivia,1983,2.3011574745178223,0,7.895069122314453,15.555976867675781,-0.06531386822462082,265.9599914550781,29.5,0,0,0.17000000178813934
Bolivia,1984,2.621276617050171,0,7.882265090942383,15.573368072509766,-0.012722348794341087,1435.68994140625,26.700000762939453,0,0,0.47999998927116394
Bolivia,1985,2.8824033737182617,0,7.8408966064453125,15.590462684631348,-0.040524665266275406,12339.26953125,20.299999237060547,0,0,0.47999998927116394
Bolivia,1986,3.9053523540496826,0,7.777106285095215,15.607270240783691,-0.06179819256067276,230.10000610351562,10.700000762939453,0,0,0.49000000953674316
Bolivia,1987,3.697695732116699,8.488380432128906,7.775631427764893,15.623799324035645,-0.0014736282173544168,14.579999923706055,4.699999809265137,0,0,0.49000000953674316
Bolivia,1988,3.7850234508514404,35.0458869934082,7.775445938110352,15.656060218811035,-1.8552600522525609e-4,17.520000457763672,6.600000381469727,0,0,0.49000000953674316
Bolivia,1989,4.368624210357666,36.20396423339844,7.7906365394592285,15.671808242797852,0.015306479297578335,13.1899995803833,8.5,0,0,0.49000000953674316
Bolivia,1990,4.686781406402588,51.92951965332031,7.802203178405762,15.702580451965332,0.011633923277258873,16.260000228881836,8.600000381469727,0,1,0.5899999737739563
Bolivia,1991,4.894655704498291,51.474185943603516,7.816238880157471,15.717617988586426,0.01413459051400423,17.690000534057617,6.099999904632568,0,1,0.5899999737739563
Bolivia,1992,4.882763385772705,58.440860748291016,7.8084540367126465,15.747032165527344,-0.007754740305244923,13.199999809265137,4.300000190734863,0,1,0.5899999737739563
Bolivia,1993,4.911144256591797,48.38231658935547,7.827029228210449,15.775605201721191,0.018748857080936432,6.559999942779541,4.199999809265137,0,1,0.5899999737739563
Bolivia,1994,5.946587562561035,50.677146911621094,7.852005958557129,15.789591789245605,0.025291236117482185,7.949999809265137,3.700000047683716,0,1,0.5400000214576721
Bolivia,1995,6.055284023284912,55.08237838745117,7.868782043457031,15.816990852355957,0.016917483881115913,11.430000305175781,3.700000047683716,0,1,0.5400000214576721
Bolivia,1996,6.758903503417969,57.798980712890625,7.879202365875244,15.843658447265625,0.010475140064954758,11.579999923706055,3.8000001907348633,0,1,0.5400000214576721
Bolivia,1997,6.89214563369751,58.25294876098633,7.890646457672119,15.869634628295898,0.011509732343256474,5.710000038146973,3.299999952316284,0,1,0.5400000214576721
Bolivia,1998,6.864650249481201,85.430938720703125,7.898974418640137,15.894951820373535,0.008362560532987118,7.050000190734863,2,0,1,0.6100000143051147
Bolivia,1999,6.517585277557373,93.74246978759766,7.890357494354248,15.907374382019043,-0.008579705841839314,2.4100000858306885,2,0,1,0.6100000143051147
Bolivia,2000,6.404443740844727,88.5439224243164,7.909638404846191,15.931766510009766,0.019467923790216446,4.809999942779541,6.200000286102295,0,1,0.6100000143051147
Bolivia,2001,6.228436470031738,83.67493438720703,7.899488925933838,15.95557689666748,-0.010097920894622803,0.6700000166893005,8,0,1,0.6100000143051147
Bolivia,2002,NA,78.66332244873047,7.899488925933838,15.95557689666748,0,NA,NA,0,NA,NA
Bosnia and Herzegovina,1960,NA,0,NA,14.97866153717041,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1961,NA,0,NA,15.009432792663574,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1962,NA,0,NA,15.039285659790039,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1963,NA,0,NA,15.039285659790039,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1964,NA,0,NA,15.068273544311523,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1965,NA,0,NA,15.068273544311523,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1966,NA,0,NA,15.068273544311523,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1967,NA,0,NA,15.096444129943848,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1968,NA,0,NA,15.096444129943848,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1969,NA,0,NA,15.1238431930542,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1970,NA,0,NA,15.1238431930542,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1971,NA,0,NA,15.150511741638184,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1972,NA,0,NA,15.150511741638184,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1973,NA,0,NA,15.17648696899414,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1974,NA,0,NA,15.17648696899414,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1975,NA,0,NA,15.201805114746094,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1976,NA,0,NA,15.201805114746094,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1977,NA,0,NA,15.201805114746094,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1978,NA,0,NA,15.201805114746094,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1979,NA,0,NA,15.226497650146484,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1980,NA,0,NA,15.226497650146484,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1981,NA,0,NA,15.226497650146484,NA,NA,NA,0,0,NA
