"idno","gender","age","income_decile","income_feel","ppl_take_advantage","ppl_mostly_helpful","trust_legal","trust_police","trust_politicians","trust_ep","trust_un","trust_polparties","trust_parliament","satisfied_government","satisfied_democracy","satisfied_economy"
10846,1,48,4,2,7,5,9,7,6,4,6,6,6,7,8,8
10852,2,76,4,1,9,9,7,9,8,6,8,7,9,7,10,6
10945,2,20,2,2,5,7,8,6,4,5,7,5,8,8,7,8
10971,2,55,4,2,9,9,8,10,6,NA,9,6,8,8,8,9
10992,2,72,2,1,6,8,4,4,1,1,3,1,5,5,7,7
11068,2,63,1,2,7,4,8,7,6,5,8,6,6,4,6,5
11080,1,49,3,2,8,7,7,6,6,3,5,7,6,7,8,7
11088,1,NA,NA,1,10,0,10,10,10,0,1,10,10,6,10,10
11107,2,72,6,1,8,5,10,10,7,NA,10,7,10,10,7,10
11154,1,64,2,2,7,7,9,9,7,NA,5,7,8,5,7,7
11196,1,40,3,1,1,0,8,1,1,1,1,5,1,0,7,8
11203,2,55,8,2,5,5,6,7,5,NA,8,6,6,4,5,9
11247,2,23,2,2,5,6,8,9,3,3,4,5,7,4,8,5
11289,2,50,4,1,7,8,6,9,2,2,5,3,4,3,6,5
11357,2,52,9,2,8,8,9,8,7,6,7,7,9,6,8,8
11485,2,81,1,1,7,5,7,8,7,8,8,5,6,7,8,7
11567,2,47,10,1,7,6,9,9,6,7,7,7,9,8,9,9
11586,1,69,3,1,5,6,9,8,5,3,10,5,9,4,10,7
11618,2,24,NA,1,7,2,3,3,2,3,4,3,3,4,3,7
11679,1,42,9,1,8,6,9,8,4,NA,10,6,9,8,8,7
11707,1,27,2,2,8,7,9,9,8,8,9,8,9,8,8,8
11738,1,29,3,2,4,5,3,6,0,0,0,2,0,2,2,5
11775,1,71,9,2,5,5,3,3,5,5,5,4,5,3,5,5
11802,2,70,3,2,7,8,6,9,4,3,4,4,5,4,5,10
11807,2,76,3,1,8,7,6,6,5,6,8,6,5,5,6,5
11827,2,61,10,1,5,4,7,6,2,3,5,3,3,1,3,4
