"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
929464,"DK","Denmark","female",32,2,4,0,5,8,0,0,4,8
929472,"DK","Denmark",NA,56,1,4,3,7,7,3,3,2,5
929480,"DK","Denmark","female",56,2,NA,3,6,6,2,2,2,3
929529,"DK","Denmark","female",45,1,8,8,8,8,6,6,6,6
929537,"DK","Denmark","male",72,1,5,7,9,9,8,6,7,8
929545,"DK","Denmark","male",29,2,3,6,7,8,4,5,6,8
929561,"DK","Denmark","male",17,1,10,8,8,9,7,8,7,7
929587,"DK","Denmark","female",56,2,1,2,8,8,2,2,8,8
929600,"DK","Denmark","male",71,1,4,7,9,5,4,6,5,8
929626,"DK","Denmark","male",27,1,2,1,7,7,1,5,2,6
929642,"DK","Denmark","female",16,1,10,7,6,8,7,8,7,8
929668,"DK","Denmark","female",44,2,3,7,5,8,5,5,NA,NA
929676,"DK","Denmark","male",75,1,2,9,10,10,8,9,8,10
929684,"DK","Denmark","male",83,2,3,7,8,4,5,6,6,8
929692,"DK","Denmark","male",28,2,5,6,4,2,2,2,0,1
929707,"DK","Denmark","male",67,1,4,8,10,10,8,8,5,8
929749,"DK","Denmark","male",45,1,6,8,8,8,7,7,7,9
929757,"DK","Denmark","male",45,1,6,0,5,3,0,0,6,1
929781,"DK","Denmark","female",76,2,2,5,7,6,2,2,5,5
929799,"DK","Denmark","male",61,1,5,8,9,9,6,6,6,7
929854,"DK","Denmark","male",22,1,NA,7,5,8,7,5,8,6
929862,"DK","Denmark","male",62,1,9,9,9,9,8,8,7,7
929870,"DK","Denmark","female",67,1,5,5,7,7,3,3,4,5
929919,"DK","Denmark","female",74,1,7,6,8,8,5,5,5,7
929951,"DK","Denmark","female",38,1,4,6,8,9,4,6,7,7
929977,"DK","Denmark","male",29,1,4,10,8,6,8,6,8,NA
929985,"DK","Denmark","female",45,1,10,6,8,8,7,6,6,7
929993,"DK","Denmark","male",17,1,10,5,3,9,3,5,2,2
930023,"DK","Denmark","male",68,2,3,3,6,7,2,2,1,5
930049,"DK","Denmark","female",17,1,NA,5,7,7,6,7,6,7
930057,"DK","Denmark","female",46,1,10,10,10,8,7,7,8,10
930104,"DK","Denmark","male",68,1,7,3,4,8,2,2,5,8
930112,"DK","Denmark","male",51,1,10,8,10,10,7,8,6,8
930154,"DK","Denmark","male",26,3,4,3,9,6,0,1,5,0
930170,"DK","Denmark","male",32,1,10,0,8,7,0,0,0,8
930196,"DK","Denmark","male",73,1,2,3,8,8,3,3,4,3
930219,"DK","Denmark","male",52,1,9,7,7,7,7,7,5,5
930227,"DK","Denmark","female",41,1,8,3,6,7,4,3,4,8
930285,"DK","Denmark","male",37,1,9,7,7,7,3,2,2,6
930293,"DK","Denmark","female",69,2,5,4,5,8,8,8,2,10
930316,"DK","Denmark","male",67,2,1,3,4,10,3,4,NA,2
930324,"DK","Denmark","male",73,2,4,5,7,8,4,4,3,6
930332,"DK","Denmark","male",29,1,7,8,8,8,8,8,8,8
930374,"DK","Denmark","female",50,1,10,9,10,10,10,9,8,10
930382,"DK","Denmark",NA,31,1,6,2,7,7,0,2,2,1
930413,"DK","Denmark","female",41,2,7,2,2,4,1,1,1,1
930439,"DK","Denmark","male",34,1,6,9,9,10,7,7,5,8
930497,"DK","Denmark","female",27,1,6,7,6,6,5,6,7,7
930510,"DK","Denmark","male",54,1,10,5,9,8,5,5,3,5
930528,"DK","Denmark","male",36,2,5,8,9,9,5,5,6,7
930578,"DK","Denmark","female",62,2,2,7,9,9,5,5,5,7
930594,"DK","Denmark","female",49,1,7,1,8,8,2,2,1,6
930625,"DK","Denmark","female",28,1,8,7,7,9,7,7,5,5
930633,"DK","Denmark","female",35,2,5,4,7,8,3,3,3,3
930659,"DK","Denmark","female",45,1,6,8,8,8,8,8,8,8
930667,"DK","Denmark","male",82,1,2,5,8,8,6,7,7,6
930714,"DK","Denmark","female",37,1,10,10,10,9,10,10,10,10
930730,"DK","Denmark","female",40,1,8,5,9,10,9,7,5,8
930772,"DK","Denmark","female",57,4,NA,5,7,9,4,4,3,6
930780,"DK","Denmark","male",31,1,5,7,9,9,7,6,7,8
930811,"DK","Denmark","male",77,1,5,9,9,9,7,6,5,5
930829,"DK","Denmark","male",56,1,8,3,8,9,3,1,0,5
930845,"DK","Denmark","male",38,2,6,7,9,9,6,5,3,3
930853,"DK","Denmark","female",67,2,3,5,7,7,7,7,7,7
930879,"DK","Denmark","male",49,1,6,1,10,10,2,2,5,5
930887,"DK","Denmark","male",35,1,7,3,7,8,4,4,3,7
930926,"DK","Denmark","male",66,1,7,6,7,5,4,4,4,4
930942,"DK","Denmark","female",64,1,9,8,8,8,5,5,6,6
930968,"DK","Denmark","female",50,1,10,7,9,8,6,6,5,7
930976,"DK","Denmark","female",19,1,7,5,5,8,5,5,5,5
930984,"DK","Denmark","female",41,1,6,6,8,9,8,6,8,8
930992,"DK","Denmark","male",39,1,10,10,10,10,8,8,10,10
931003,"DK","Denmark","male",34,1,4,6,5,7,7,6,5,5
931011,"DK","Denmark",NA,36,2,3,6,9,9,5,5,7,7
931029,"DK","Denmark","male",55,1,8,2,5,5,3,3,1,5
931037,"DK","Denmark","male",53,2,9,8,8,5,5,5,4,7
931087,"DK","Denmark","female",25,2,NA,7,8,9,7,7,NA,NA
931095,"DK","Denmark","female",65,2,6,3,4,5,3,3,3,4
931118,"DK","Denmark","female",47,1,6,6,7,8,6,6,6,8
931126,"DK","Denmark","female",53,1,5,6,8,9,6,6,6,7
931134,"DK","Denmark",NA,78,1,5,2,7,5,3,3,1,1
931142,"DK","Denmark","female",75,1,4,5,4,8,3,5,2,9
931150,"DK","Denmark","male",29,1,6,7,10,10,6,6,5,9
931192,"DK","Denmark","female",61,1,4,5,10,10,4,4,2,4
931207,"DK","Denmark","male",25,2,7,6,7,9,6,5,5,7
931249,"DK","Denmark","male",39,1,10,2,8,6,2,2,0,7
931281,"DK","Denmark","male",26,1,5,6,8,8,6,6,6,8
931299,"DK","Denmark","male",23,3,1,2,6,4,2,3,0,5
931304,"DK","Denmark","female",44,1,10,9,10,9,10,10,10,10
931320,"DK","Denmark","male",40,1,10,7,9,9,7,7,8,9
931338,"DK","Denmark","female",49,1,10,9,9,9,8,7,8,7
931354,"DK","Denmark","male",16,1,NA,2,3,2,2,0,5,6
931370,"DK","Denmark","female",75,1,1,5,5,7,5,5,5,5
931396,"DK","Denmark","female",84,1,7,6,6,6,5,5,5,5
931419,"DK","Denmark","male",63,2,4,8,10,10,8,8,8,10
931435,"DK","Denmark","male",38,1,10,7,7,4,4,3,2,5
931443,"DK","Denmark","male",24,1,4,5,5,8,5,4,5,8
931469,"DK","Denmark","female",61,1,7,6,7,7,7,7,6,9
931493,"DK","Denmark","male",68,1,5,4,6,2,2,2,2,4
931540,"DK","Denmark","female",43,2,5,6,6,6,5,4,4,7
931566,"DK","Denmark","female",68,1,3,9,10,10,8,8,8,9
931574,"DK","Denmark","male",76,1,5,6,8,7,7,5,4,5
931605,"DK","Denmark",NA,78,NA,NA,5,5,4,1,0,0,2
931621,"DK","Denmark","female",76,1,2,6,8,8,7,7,8,8
931639,"DK","Denmark","female",48,1,8,7,9,9,5,5,5,8
931647,"DK","Denmark","female",27,2,1,8,8,7,6,6,5,5
931663,"DK","Denmark","male",49,1,8,10,10,10,8,8,6,10
931689,"DK","Denmark","male",42,2,9,4,9,10,2,2,2,6
931697,"DK","Denmark","female",68,1,5,7,7,8,6,6,7,7
931728,"DK","Denmark",NA,31,2,4,1,8,8,3,0,0,5
931736,"DK","Denmark","female",49,1,6,2,4,6,2,2,2,2
931744,"DK","Denmark","female",61,2,6,3,3,4,3,3,3,3
931794,"DK","Denmark",NA,24,NA,NA,3,7,8,3,4,NA,NA
931817,"DK","Denmark","female",69,1,7,7,7,9,3,3,7,7
931825,"DK","Denmark","male",20,2,NA,8,7,7,5,5,7,8
931833,"DK","Denmark","female",21,3,1,7,9,9,8,6,7,8
931841,"DK","Denmark","male",22,2,1,2,2,0,0,0,0,7
931867,"DK","Denmark","female",20,3,NA,9,8,10,7,8,8,9
931906,"DK","Denmark",NA,76,1,7,2,6,10,5,4,5,6
931930,"DK","Denmark","female",65,2,4,3,3,3,5,5,5,NA
931948,"DK","Denmark","male",65,1,8,6,8,8,6,7,7,6
931964,"DK","Denmark","female",30,1,8,3,9,10,4,4,7,7
932025,"DK","Denmark","female",70,1,6,5,8,10,5,5,1,8
932033,"DK","Denmark","female",46,2,6,3,5,7,3,3,3,3
932041,"DK","Denmark","male",60,1,7,6,9,9,7,7,7,9
932059,"DK","Denmark","female",31,2,4,2,3,7,5,5,5,3
932067,"DK","Denmark",NA,48,1,4,4,6,7,4,2,2,2
932083,"DK","Denmark","female",80,1,NA,8,9,9,NA,NA,5,6
932091,"DK","Denmark","male",29,1,10,5,8,10,5,5,5,7
932106,"DK","Denmark","female",39,1,7,4,8,8,4,4,7,7
932130,"DK","Denmark","male",43,4,3,1,5,3,1,1,3,8
932148,"DK","Denmark","female",70,1,4,6,7,7,5,5,5,7
932156,"DK","Denmark",NA,45,2,8,1,9,7,0,0,0,0
932180,"DK","Denmark","male",25,2,6,6,4,4,4,5,5,6
932229,"DK","Denmark","male",21,1,10,1,0,0,1,5,0,4
932237,"DK","Denmark","male",68,1,NA,8,10,10,7,8,5,7
932245,"DK","Denmark","male",58,1,9,7,8,10,5,5,4,7
932253,"DK","Denmark","female",43,1,9,9,9,9,7,7,7,8
932261,"DK","Denmark","male",18,1,NA,2,8,9,2,3,7,8
932287,"DK","Denmark","female",21,1,5,10,10,10,7,8,10,10
932318,"DK","Denmark","male",49,1,10,9,10,9,8,8,8,9
932368,"DK","Denmark","female",42,1,10,6,7,7,5,3,3,3
932407,"DK","Denmark","male",16,1,NA,8,8,6,6,6,9,9
932481,"DK","Denmark","male",29,2,3,5,8,9,3,3,5,7
932499,"DK","Denmark","female",61,1,5,6,6,6,4,4,4,6
932504,"DK","Denmark","male",38,1,7,7,8,8,6,5,4,8
932512,"DK","Denmark","female",56,2,5,4,7,7,4,4,4,8
932520,"DK","Denmark","female",57,1,6,7,7,10,4,5,7,8
932538,"DK","Denmark","female",65,1,6,7,9,9,7,7,8,8
932546,"DK","Denmark","male",59,1,10,7,7,6,5,6,5,7
932562,"DK","Denmark","female",59,1,10,7,8,8,7,5,5,7
932570,"DK","Denmark","female",65,1,9,7,8,8,5,7,6,7
932588,"DK","Denmark","male",25,1,7,7,7,4,4,4,3,5
932596,"DK","Denmark","female",54,1,7,8,9,10,7,6,8,9
932601,"DK","Denmark","male",66,1,5,10,5,5,5,5,4,7
932643,"DK","Denmark","male",23,1,3,6,7,9,4,5,3,4
932651,"DK","Denmark","male",17,1,9,5,9,8,5,5,7,9
932669,"DK","Denmark","female",28,1,7,9,9,9,7,7,7,8
932677,"DK","Denmark",NA,61,1,8,8,8,8,6,7,6,9
932685,"DK","Denmark","female",89,2,2,3,8,8,2,2,0,7
932708,"DK","Denmark","male",63,1,3,8,10,9,6,7,5,8
932716,"DK","Denmark","female",74,1,6,8,8,8,5,5,6,6
932724,"DK","Denmark","female",63,1,NA,5,5,5,3,3,5,7
932732,"DK","Denmark","female",46,3,8,5,10,8,3,3,3,7
932758,"DK","Denmark","female",88,1,1,6,10,10,6,8,8,8
932766,"DK","Denmark","male",27,4,1,8,10,10,7,7,5,8
932774,"DK","Denmark","female",54,1,5,7,8,8,7,7,4,5
932855,"DK","Denmark","female",15,1,10,9,10,10,10,7,8,9
932871,"DK","Denmark","male",72,1,2,4,4,4,2,2,2,4
932889,"DK","Denmark","female",46,2,7,8,8,8,7,6,7,8
932897,"DK","Denmark","male",21,2,NA,4,5,3,2,3,0,2
932902,"DK","Denmark","male",83,1,7,9,4,4,5,5,5,4
932910,"DK","Denmark","female",58,1,8,7,9,9,7,7,7,9
932928,"DK","Denmark","male",64,1,NA,7,8,10,8,7,5,8
932978,"DK","Denmark","female",43,2,6,6,5,8,5,5,3,8
933005,"DK","Denmark","female",58,3,5,7,5,7,7,7,5,8
933013,"DK","Denmark","male",42,2,10,7,9,5,3,2,5,5
933021,"DK","Denmark","female",66,1,6,8,8,7,5,5,7,7
933039,"DK","Denmark","male",49,1,9,1,4,7,1,0,1,1
933071,"DK","Denmark","male",34,1,10,7,8,9,5,6,3,6
933097,"DK","Denmark","male",42,1,10,10,9,8,6,6,5,5
933110,"DK","Denmark","male",26,1,6,4,5,6,5,5,6,6
933128,"DK","Denmark","male",65,2,5,0,2,4,0,0,0,1
933144,"DK","Denmark","male",21,2,1,9,7,10,8,10,6,10
933160,"DK","Denmark","male",54,1,6,7,9,9,6,6,4,6
933178,"DK","Denmark","male",63,2,2,5,9,9,4,4,6,4
933186,"DK","Denmark",NA,46,2,8,8,9,10,4,4,4,4
933209,"DK","Denmark","male",22,2,1,3,7,8,4,7,5,5
933233,"DK","Denmark","male",20,1,10,8,7,7,6,6,4,5
933259,"DK","Denmark","male",59,1,10,7,7,8,7,6,6,6
933275,"DK","Denmark","female",76,1,3,7,8,7,3,4,8,8
933291,"DK","Denmark",NA,61,1,1,5,8,8,7,7,7,5
933322,"DK","Denmark","male",49,1,5,5,5,5,4,4,5,5
933348,"DK","Denmark","male",19,1,7,8,10,8,6,6,5,5
933372,"DK","Denmark","male",43,1,9,6,NA,8,6,6,6,8
933398,"DK","Denmark",NA,29,2,1,8,8,7,7,6,7,7
933403,"DK","Denmark","female",47,1,6,5,8,9,5,5,7,7
933429,"DK","Denmark","female",61,1,10,7,8,8,6,6,5,8
933445,"DK","Denmark","male",25,1,4,3,5,8,7,6,7,9
933461,"DK","Denmark",NA,70,1,4,4,9,9,3,3,3,5
933487,"DK","Denmark","female",85,1,4,5,5,5,5,5,NA,NA
933518,"DK","Denmark","female",29,2,5,6,9,5,8,7,4,6
933542,"DK","Denmark",NA,36,NA,NA,10,10,10,5,3,10,10
933607,"DK","Denmark",NA,56,1,5,3,4,8,2,2,1,4
933623,"DK","Denmark","female",56,1,10,4,7,8,7,6,7,8
933649,"DK","Denmark","female",69,4,2,6,10,10,7,7,NA,7
933657,"DK","Denmark","female",45,2,10,6,8,8,4,6,5,10
933673,"DK","Denmark","female",92,2,1,5,6,6,5,4,5,5
933704,"DK","Denmark","female",55,1,10,10,10,10,10,8,6,8
933712,"DK","Denmark","male",49,1,10,8,8,9,4,4,6,3
933738,"DK","Denmark","female",51,1,7,7,8,8,7,6,8,8
933835,"DK","Denmark","male",41,1,7,3,7,7,5,5,5,5
933869,"DK","Denmark","male",24,2,NA,3,8,4,6,7,8,10
933893,"DK","Denmark","male",24,1,6,9,9,9,7,7,8,8
933908,"DK","Denmark","male",53,1,10,3,7,7,0,4,0,4
933916,"DK","Denmark","male",49,2,1,6,6,4,5,5,0,1
933924,"DK","Denmark","female",40,1,3,8,10,10,10,9,10,10
933940,"DK","Denmark","male",69,1,6,8,9,9,7,7,6,9
933974,"DK","Denmark","female",16,1,NA,4,6,7,5,5,NA,NA
933990,"DK","Denmark","female",72,1,2,7,8,8,9,8,8,8
934001,"DK","Denmark","male",35,1,10,9,5,5,8,8,6,8
934035,"DK","Denmark","male",73,1,4,8,10,10,7,8,7,10
934069,"DK","Denmark","female",27,2,NA,7,6,9,6,5,8,8
934077,"DK","Denmark","female",52,2,5,8,8,9,5,6,7,9
934093,"DK","Denmark",NA,18,2,NA,3,5,8,9,7,6,5
934108,"DK","Denmark","male",43,2,NA,4,4,7,5,5,5,5
934124,"DK","Denmark","female",67,1,2,5,7,7,6,6,5,7
934158,"DK","Denmark","male",48,2,10,5,6,6,3,3,3,5
934190,"DK","Denmark","female",24,2,6,5,8,7,5,5,5,5
934247,"DK","Denmark",NA,60,1,3,0,5,9,2,1,0,NA
934255,"DK","Denmark","male",83,1,2,2,7,7,3,4,2,5
934263,"DK","Denmark","male",47,2,6,7,9,8,4,5,4,5
934289,"DK","Denmark","female",66,1,5,7,6,4,5,6,4,5
934302,"DK","Denmark","female",37,2,7,8,9,8,7,7,7,8
934344,"DK","Denmark","male",54,1,10,1,8,9,2,2,1,7
934352,"DK","Denmark","male",29,1,10,3,3,1,5,5,3,4
934360,"DK","Denmark","female",84,2,1,5,9,9,5,5,2,7
934386,"DK","Denmark","female",50,2,7,3,3,3,3,4,3,3
934433,"DK","Denmark","male",61,2,2,8,5,8,7,9,5,9
934467,"DK","Denmark","female",41,1,10,8,8,8,7,7,7,7
934475,"DK","Denmark","male",29,2,5,8,9,7,8,8,6,6
934483,"DK","Denmark","female",74,2,4,6,8,8,5,7,5,5
934491,"DK","Denmark","female",47,1,10,7,8,8,6,6,5,9
934522,"DK","Denmark","male",70,1,8,5,8,8,2,2,4,8
934548,"DK","Denmark","female",43,1,10,5,7,9,5,5,6,6
934556,"DK","Denmark","male",24,1,2,6,9,9,4,4,5,9
934564,"DK","Denmark",NA,52,4,NA,9,9,9,4,1,5,7
934611,"DK","Denmark","male",44,1,8,5,8,8,4,5,4,5
934629,"DK","Denmark","male",46,2,9,1,9,9,1,3,1,8
934637,"DK","Denmark","male",70,1,7,6,10,10,5,4,4,5
934645,"DK","Denmark","female",66,1,7,4,8,9,5,5,4,5
934653,"DK","Denmark","female",37,1,7,7,8,8,7,6,6,7
934661,"DK","Denmark","male",29,2,3,6,7,9,5,5,1,5
934695,"DK","Denmark","female",95,1,1,8,10,10,4,1,NA,4
934700,"DK","Denmark","male",69,1,NA,8,8,8,5,5,5,5
934726,"DK","Denmark",NA,67,1,1,3,9,10,0,4,4,4
934750,"DK","Denmark","male",72,2,4,0,4,3,3,0,4,4
934784,"DK","Denmark","male",29,1,8,2,2,2,2,2,2,1
934807,"DK","Denmark","male",39,1,9,5,7,7,4,5,6,7
934831,"DK","Denmark","male",63,1,10,8,9,9,6,6,6,7
934865,"DK","Denmark",NA,28,3,2,7,6,0,7,7,7,8
934873,"DK","Denmark",NA,41,2,6,6,6,7,5,7,4,2
934881,"DK","Denmark","female",63,1,10,6,8,8,5,6,4,4
934904,"DK","Denmark","male",91,1,2,10,10,6,8,8,8,7
934912,"DK","Denmark","male",51,1,10,8,9,9,7,6,6,9
934938,"DK","Denmark","female",50,1,10,8,9,9,6,6,5,5
934954,"DK","Denmark","female",49,3,3,9,10,9,8,8,8,8
934962,"DK","Denmark","female",38,2,4,6,9,9,5,5,2,7
934970,"DK","Denmark","female",60,1,7,7,8,7,5,7,6,7
934988,"DK","Denmark",NA,45,2,NA,7,NA,8,NA,NA,NA,7
934996,"DK","Denmark","male",21,1,NA,5,8,8,1,1,3,8
935007,"DK","Denmark","male",61,1,7,5,8,10,5,5,3,7
935057,"DK","Denmark","male",45,1,6,7,8,9,4,5,6,7
935099,"DK","Denmark","female",88,1,5,8,9,8,7,6,5,7
935104,"DK","Denmark","female",54,1,7,1,3,5,2,2,0,0
935112,"DK","Denmark","male",56,1,8,7,8,9,2,4,2,5
935138,"DK","Denmark","male",58,2,10,4,3,6,4,5,4,5
935170,"DK","Denmark",NA,38,2,4,4,7,5,1,4,0,8
935235,"DK","Denmark","female",33,1,4,3,5,6,3,3,4,4
935251,"DK","Denmark","male",23,1,NA,7,8,8,6,6,5,6
935269,"DK","Denmark","female",78,1,NA,0,9,NA,3,6,2,NA
935285,"DK","Denmark","male",91,1,1,3,8,9,5,5,6,6
935316,"DK","Denmark","male",36,1,8,9,9,9,6,7,8,8
935332,"DK","Denmark","female",22,2,2,7,10,10,8,8,9,9
935340,"DK","Denmark","male",17,1,5,7,8,8,6,6,4,7
935382,"DK","Denmark",NA,59,2,2,4,5,7,5,4,5,7
935405,"DK","Denmark","female",76,1,3,8,8,8,8,8,7,7
935439,"DK","Denmark","female",91,1,NA,2,2,3,2,3,1,6
935463,"DK","Denmark","female",29,1,7,5,5,6,2,2,NA,NA
935489,"DK","Denmark","male",26,1,3,7,9,9,6,7,7,6
935502,"DK","Denmark","male",43,1,4,8,10,10,7,6,7,9
935536,"DK","Denmark","male",38,1,10,8,9,9,5,7,5,7
935560,"DK","Denmark",NA,33,1,7,5,7,8,4,4,5,NA
935586,"DK","Denmark","male",53,1,2,5,7,4,6,4,4,6
935594,"DK","Denmark","male",17,1,9,5,9,8,5,5,7,9
935609,"DK","Denmark","male",36,2,2,6,9,9,5,5,5,7
935633,"DK","Denmark","female",52,1,10,7,8,8,7,5,5,7
935641,"DK","Denmark","male",56,1,7,9,9,9,4,4,5,9
935659,"DK","Denmark",NA,35,2,NA,8,8,5,6,6,5,5
935667,"DK","Denmark","male",48,1,8,4,4,5,4,4,2,5
935706,"DK","Denmark","male",49,1,10,10,10,9,7,6,5,8
935714,"DK","Denmark","male",17,1,NA,NA,8,9,4,4,9,8
935764,"DK","Denmark","female",34,2,10,5,10,7,4,4,3,6
935780,"DK","Denmark","female",39,1,NA,5,6,6,4,5,NA,7
935811,"DK","Denmark","female",40,2,NA,2,5,7,2,2,NA,NA
935829,"DK","Denmark","female",34,2,10,7,9,9,7,NA,6,8
935845,"DK","Denmark","female",34,1,9,6,3,5,3,5,5,7
935853,"DK","Denmark","male",69,2,3,7,8,8,6,6,6,7
935879,"DK","Denmark","male",30,1,5,9,8,8,5,5,6,7
935887,"DK","Denmark","female",45,1,2,7,8,8,7,7,7,7
935895,"DK","Denmark","female",45,1,10,10,10,8,8,8,8,7
935934,"DK","Denmark","male",20,1,8,5,7,5,5,5,4,6
935950,"DK","Denmark","female",65,1,3,5,9,7,6,7,7,6
935968,"DK","Denmark","male",59,1,10,5,9,9,5,5,3,3
935976,"DK","Denmark",NA,88,1,NA,5,7,6,4,4,5,7
935984,"DK","Denmark","male",42,2,8,10,8,10,6,3,0,9
936003,"DK","Denmark","male",67,2,10,3,6,7,2,2,3,4
936011,"DK","Denmark","female",72,2,2,7,9,7,7,7,7,7
936037,"DK","Denmark",NA,46,2,5,7,9,9,7,7,7,7
936053,"DK","Denmark","male",35,2,7,6,4,2,2,2,1,5
936079,"DK","Denmark","female",52,1,10,5,5,5,5,3,3,3
936087,"DK","Denmark","female",41,1,NA,6,8,7,7,6,6,7
936095,"DK","Denmark","male",36,2,7,8,6,7,4,4,1,2
936100,"DK","Denmark","female",31,1,6,5,7,7,4,4,4,6
936118,"DK","Denmark","female",43,1,9,7,8,9,5,6,5,6
936134,"DK","Denmark","female",16,1,NA,4,5,5,5,5,5,6
936150,"DK","Denmark","male",59,1,10,8,10,10,6,8,7,7
936184,"DK","Denmark","male",46,1,10,9,9,9,7,7,6,9
936207,"DK","Denmark","female",30,1,6,7,8,8,6,6,5,6
936249,"DK","Denmark","male",50,2,6,2,3,3,5,3,0,0
936265,"DK","Denmark","male",49,1,10,8,8,8,6,7,6,7
936273,"DK","Denmark","female",48,1,10,8,9,8,7,7,8,8
936281,"DK","Denmark","male",22,1,NA,4,NA,NA,NA,NA,NA,NA
936299,"DK","Denmark","female",49,1,10,7,8,8,7,8,6,7
936312,"DK","Denmark","female",63,1,3,5,5,3,3,3,5,5
936320,"DK","Denmark","male",31,1,6,6,8,10,2,4,4,6
936346,"DK","Denmark","male",21,1,NA,6,7,8,5,5,6,6
936362,"DK","Denmark","male",69,1,5,7,8,4,4,4,4,8
936370,"DK","Denmark","female",64,1,NA,7,9,6,7,5,7,5
936396,"DK","Denmark","female",51,1,9,5,7,8,4,4,3,4
936427,"DK","Denmark","female",66,1,6,8,9,9,7,7,6,10
936435,"DK","Denmark",NA,69,1,3,4,1,8,5,3,3,3
936443,"DK","Denmark","female",23,2,1,8,9,9,7,7,9,9
936485,"DK","Denmark","male",51,1,10,8,8,8,7,7,7,8
936516,"DK","Denmark","female",53,1,10,5,7,7,3,3,2,6
936540,"DK","Denmark","male",55,1,10,10,10,10,8,10,4,4
936558,"DK","Denmark","male",37,4,1,3,0,4,0,0,0,5
936566,"DK","Denmark","female",39,1,4,7,8,10,6,7,8,8
936574,"DK","Denmark","female",49,2,4,7,8,9,8,6,5,7
936590,"DK","Denmark","male",60,1,8,7,9,8,7,7,5,5
936621,"DK","Denmark","female",46,1,10,7,7,7,7,7,7,7
936655,"DK","Denmark","female",17,1,NA,2,5,8,2,1,4,5
936663,"DK","Denmark","male",37,2,4,8,8,9,5,5,4,7
936697,"DK","Denmark","male",64,2,4,3,7,8,2,NA,2,8
936702,"DK","Denmark","female",56,1,10,5,9,9,5,5,6,8
936710,"DK","Denmark","female",60,1,NA,8,9,9,7,7,5,8
936728,"DK","Denmark","male",45,1,10,8,8,9,5,7,2,5
936736,"DK","Denmark","female",73,1,7,8,9,8,6,6,6,6
936744,"DK","Denmark","male",26,2,3,7,7,4,5,1,8,10
936752,"DK","Denmark",NA,54,2,NA,8,8,9,NA,NA,NA,2
936760,"DK","Denmark","female",25,1,10,9,8,8,7,9,7,10
936778,"DK","Denmark","male",54,1,8,3,7,9,2,2,0,5
936794,"DK","Denmark","male",67,NA,1,2,7,6,7,4,7,5
936825,"DK","Denmark","male",15,2,NA,8,10,10,7,7,8,8
936859,"DK","Denmark","male",68,1,4,4,7,5,4,4,4,5
936883,"DK","Denmark","female",69,1,5,1,5,7,2,2,2,4
936906,"DK","Denmark","male",61,1,7,3,5,3,3,4,0,3
936922,"DK","Denmark","female",65,1,NA,7,9,8,6,6,5,5
936948,"DK","Denmark","male",32,1,NA,7,4,4,1,1,NA,7
936956,"DK","Denmark","male",73,1,3,6,8,9,6,7,8,9
936964,"DK","Denmark","male",67,2,6,8,9,8,7,8,7,8
936980,"DK","Denmark","male",47,1,4,6,5,6,5,5,3,3
936998,"DK","Denmark",NA,38,1,4,2,7,6,1,1,2,6
937009,"DK","Denmark","male",50,1,6,7,4,3,4,3,1,5
937017,"DK","Denmark","female",64,2,1,4,9,9,5,6,2,6
937041,"DK","Denmark","female",33,1,NA,3,6,8,3,3,3,5
937059,"DK","Denmark",NA,24,4,1,6,8,8,5,6,1,10
937083,"DK","Denmark","male",42,1,8,8,9,9,7,6,8,8
937106,"DK","Denmark","male",20,1,NA,10,10,10,8,8,9,10
937114,"DK","Denmark","female",33,1,9,6,8,9,5,5,4,8
937148,"DK","Denmark","female",55,1,5,0,4,5,0,0,0,0
937172,"DK","Denmark","female",32,1,6,6,7,7,5,6,5,7
937180,"DK","Denmark","female",43,1,9,9,9,8,6,5,5,6
937198,"DK","Denmark","female",21,1,NA,1,3,7,1,3,5,5
937245,"DK","Denmark","female",51,2,6,8,9,9,8,6,8,9
937253,"DK","Denmark","female",64,NA,10,8,9,9,7,8,3,9
937261,"DK","Denmark","female",33,1,10,4,2,8,1,2,0,2
937318,"DK","Denmark",NA,55,1,5,4,NA,8,6,6,NA,NA
937342,"DK","Denmark","male",71,2,5,6,4,7,4,5,3,4
937368,"DK","Denmark","male",66,2,3,4,8,5,2,2,3,6
937376,"DK","Denmark","male",69,1,3,6,9,8,3,5,8,8
937384,"DK","Denmark","male",39,1,NA,5,8,9,3,3,1,9
937392,"DK","Denmark","male",59,1,6,6,8,8,4,3,0,7
937415,"DK","Denmark","male",19,1,10,8,9,10,7,8,9,10
937423,"DK","Denmark","female",50,1,8,5,8,8,5,5,5,7
937431,"DK","Denmark","male",59,1,7,7,7,9,4,4,5,7
937449,"DK","Denmark","male",40,1,NA,6,9,10,6,5,7,5
937465,"DK","Denmark","male",46,2,5,2,8,10,2,2,2,5
937499,"DK","Denmark","female",46,1,NA,4,8,8,4,4,7,8
937504,"DK","Denmark","female",77,1,1,3,8,8,4,5,4,NA
937538,"DK","Denmark","female",19,1,10,8,9,9,5,5,5,4
937546,"DK","Denmark","male",67,2,4,4,7,7,5,5,3,7
937554,"DK","Denmark","female",36,1,7,8,9,10,7,6,8,6
937562,"DK","Denmark","female",68,1,5,9,8,8,7,8,2,3
937596,"DK","Denmark","female",34,2,4,5,8,7,6,6,NA,NA
