"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
235,"AT","Austria",NA,42,1,5,0,5,10,0,0,0,9
241,"AT","Austria",NA,15,1,NA,7,7,8,6,8,7,7
242,"AT","Austria",NA,50,2,NA,5,2,8,3,1,0,5
243,"AT","Austria",NA,36,2,NA,1,5,5,1,1,0,0
244,"AT","Austria","male",58,2,7,5,6,5,3,2,1,NA
245,"AT","Austria","male",20,1,NA,6,7,9,5,6,6,5
246,"AT","Austria","male",18,1,NA,0,7,7,4,6,NA,NA
253,"AT","Austria","male",75,2,NA,5,4,5,4,3,2,3
254,"AT","Austria","female",52,2,5,5,4,7,3,3,2,6
255,"AT","Austria","female",44,2,3,NA,2,2,NA,NA,4,4
265,"AT","Austria","male",58,2,1,5,6,6,5,3,5,6
266,"AT","Austria",NA,81,2,1,2,2,5,2,2,NA,NA
267,"AT","Austria",NA,56,2,5,4,4,5,6,7,5,5
268,"AT","Austria","male",67,3,5,3,3,4,3,3,2,5
269,"AT","Austria",NA,76,2,4,5,7,7,0,2,0,1
270,"AT","Austria","male",27,3,2,4,4,4,3,4,0,3
277,"AT","Austria",NA,26,2,8,9,9,10,9,9,7,9
278,"AT","Austria","male",51,1,6,9,9,10,7,7,5,7
279,"AT","Austria","female",38,2,8,10,10,10,10,10,10,10
280,"AT","Austria","male",36,2,7,10,10,10,9,9,7,9
289,"AT","Austria","male",54,1,3,6,8,7,6,7,8,6
290,"AT","Austria",NA,22,2,2,2,2,6,1,1,0,0
291,"AT","Austria","male",23,1,3,7,6,9,7,7,2,5
292,"AT","Austria","female",27,2,2,4,4,7,5,5,5,6
293,"AT","Austria","female",35,2,4,0,0,9,0,0,0,0
294,"AT","Austria","female",29,1,3,0,0,5,0,0,0,0
301,"AT","Austria","male",43,2,NA,5,8,7,2,0,3,3
302,"AT","Austria",NA,67,2,NA,3,4,6,2,1,1,0
303,"AT","Austria","male",59,1,NA,4,5,4,1,1,1,2
304,"AT","Austria","male",39,2,NA,5,1,8,2,1,0,0
309,"AT","Austria",NA,28,3,4,5,6,5,3,3,2,4
310,"AT","Austria","male",44,3,1,4,7,6,4,4,4,6
311,"AT","Austria","female",29,1,5,4,5,5,4,3,2,6
312,"AT","Austria","male",78,2,2,6,6,6,6,4,4,6
313,"AT","Austria","male",NA,3,NA,7,5,10,3,2,1,5
317,"AT","Austria",NA,48,1,NA,5,7,7,3,3,NA,NA
318,"AT","Austria","male",65,1,NA,3,2,6,3,2,3,4
319,"AT","Austria","male",62,2,NA,2,6,7,1,3,2,3
320,"AT","Austria",NA,59,2,2,5,5,7,5,5,4,4
329,"AT","Austria",NA,76,2,3,3,6,6,3,2,3,3
330,"AT","Austria","female",73,2,2,5,6,6,5,5,4,4
331,"AT","Austria","male",32,2,9,4,3,3,4,4,3,4
332,"AT","Austria","male",51,1,NA,6,8,8,6,6,7,7
337,"AT","Austria","male",62,1,10,9,9,6,6,6,9,10
338,"AT","Austria","male",62,2,10,9,9,9,9,9,9,9
339,"AT","Austria","female",62,1,10,9,8,9,5,5,6,8
340,"AT","Austria","female",82,2,7,4,4,4,4,4,3,4
341,"AT","Austria","male",55,3,5,5,2,3,2,3,NA,9
342,"AT","Austria",NA,33,1,9,1,2,1,1,1,1,2
349,"AT","Austria","female",46,1,9,2,6,7,2,2,2,2
350,"AT","Austria","female",51,1,7,2,7,8,2,2,2,4
351,"AT","Austria","male",64,1,8,3,3,6,3,3,3,5
352,"AT","Austria","male",34,1,NA,7,7,7,5,5,4,2
353,"AT","Austria","male",67,1,5,5,5,7,3,1,1,NA
354,"AT","Austria","female",69,1,7,5,5,8,5,5,1,3
355,"AT","Austria","female",16,1,7,6,7,8,5,5,5,5
356,"AT","Austria","female",49,1,5,2,3,5,0,0,0,0
361,"AT","Austria","female",41,2,4,4,5,6,2,2,2,NA
362,"AT","Austria",NA,66,2,5,5,6,6,3,4,3,4
363,"AT","Austria","male",68,2,6,5,6,7,4,4,3,3
364,"AT","Austria","female",58,1,7,7,7,7,NA,NA,3,NA
365,"AT","Austria",NA,20,2,1,NA,5,7,1,1,0,4
366,"AT","Austria","male",27,2,2,3,5,4,2,6,2,0
369,"AT","Austria","female",47,1,6,7,7,7,6,6,6,7
370,"AT","Austria","male",36,2,NA,0,0,4,0,0,0,0
371,"AT","Austria","male",39,2,5,7,5,9,1,1,1,3
372,"AT","Austria","male",55,2,4,5,7,7,5,5,5,5
373,"AT","Austria",NA,57,2,NA,8,8,10,8,7,8,9
377,"AT","Austria","male",50,1,5,3,4,9,3,3,1,8
378,"AT","Austria","male",46,2,8,8,8,8,5,5,5,9
379,"AT","Austria",NA,66,2,4,3,7,7,2,2,1,4
389,"AT","Austria","male",76,2,1,6,5,7,5,1,3,1
390,"AT","Austria","male",67,3,3,5,2,10,0,5,5,NA
391,"AT","Austria","female",49,1,7,5,9,9,0,0,1,1
392,"AT","Austria","female",52,3,4,6,6,6,6,5,5,5
393,"AT","Austria","female",51,1,8,5,5,8,0,0,2,9
394,"AT","Austria","female",50,1,7,5,7,7,3,3,2,2
395,"AT","Austria","male",35,2,3,0,5,10,0,6,0,0
396,"AT","Austria","male",25,1,10,0,3,10,0,0,0,0
397,"AT","Austria",NA,61,1,6,4,8,8,2,3,4,3
398,"AT","Austria","male",74,2,6,7,5,9,3,3,0,5
401,"AT","Austria","male",66,2,4,6,5,6,3,3,3,5
402,"AT","Austria","male",47,2,NA,5,4,5,4,2,2,5
403,"AT","Austria","female",66,2,NA,3,5,7,3,3,3,5
404,"AT","Austria","female",25,3,2,2,4,7,0,0,0,4
405,"AT","Austria","male",59,2,NA,2,3,2,2,2,2,2
406,"AT","Austria","female",48,2,7,5,4,4,3,2,0,4
413,"AT","Austria","male",62,4,8,0,4,6,1,0,2,3
414,"AT","Austria","female",74,2,1,7,7,8,NA,NA,NA,6
415,"AT","Austria","male",46,3,3,NA,5,10,8,7,7,NA
416,"AT","Austria","male",41,3,2,0,2,2,0,2,2,5
417,"AT","Austria","female",36,1,6,6,8,8,5,5,5,5
418,"AT","Austria","female",71,2,2,4,0,7,3,3,0,5
419,"AT","Austria","male",41,2,3,5,4,5,3,2,4,2
420,"AT","Austria",NA,81,2,2,7,NA,7,7,8,NA,NA
425,"AT","Austria","male",43,1,8,4,5,6,5,4,1,3
426,"AT","Austria",NA,65,2,2,4,5,6,1,1,0,NA
427,"AT","Austria",NA,50,2,5,5,6,7,4,3,3,4
428,"AT","Austria",NA,65,1,6,4,5,5,4,3,0,1
433,"AT","Austria","male",40,3,6,8,9,10,3,5,6,7
434,"AT","Austria",NA,36,1,9,4,7,6,2,4,3,2
435,"AT","Austria",NA,32,2,7,8,8,7,6,7,7,6
436,"AT","Austria","female",36,2,6,8,8,8,4,5,8,7
441,"AT","Austria","male",69,3,4,0,0,0,3,3,0,3
442,"AT","Austria","male",63,3,9,2,2,5,0,4,0,8
443,"AT","Austria","female",72,2,9,4,7,8,2,2,0,2
444,"AT","Austria","female",64,2,4,4,4,6,4,4,4,4
445,"AT","Austria","male",63,1,1,4,5,4,3,2,3,3
449,"AT","Austria",NA,21,2,6,3,5,10,1,1,1,2
450,"AT","Austria","male",30,2,4,3,5,8,2,3,4,5
451,"AT","Austria","female",57,2,7,3,8,2,7,7,3,4
452,"AT","Austria","female",27,2,5,2,4,7,2,2,2,3
453,"AT","Austria","female",40,2,6,5,5,8,3,5,4,4
454,"AT","Austria","female",56,2,5,3,0,9,0,2,0,6
455,"AT","Austria","male",50,2,6,6,5,6,2,4,4,6
456,"AT","Austria","female",44,2,4,4,5,6,2,1,4,4
461,"AT","Austria","male",75,1,5,6,7,7,5,5,5,6
462,"AT","Austria","male",57,2,6,5,8,8,5,5,4,4
463,"AT","Austria","female",78,2,5,6,6,6,6,6,5,5
464,"AT","Austria","male",64,2,NA,5,7,7,5,5,3,4
465,"AT","Austria","male",72,1,4,4,5,5,7,7,7,3
