"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"501","HND","5"," -1.6909690",3.3021309,0.5840453,1439,0.16,0.25,"  0","  0",3.393229,23.168261
"502","HND","6","  0.7361481",3.223475,0.9271817,1381,0.16,0.25,"  0","  0",3.393229,26.925541
"503","HND","7","  0.6857720",3.3950009,2.6119871,1377,0.16,3.25,"  0","  0",3.393229,29.84313
"514","HTI","2","  0.8736246",0.479089,1.150183,834,0.01,0,"  0","  0",2.578646,10.19755
"515","HTI","3","  1.4252540",1.430759,1.029469,883,0.01,0.25,"  0","  0",2.578646,14.24904
"516","HTI","4","  2.3439600",1.636374,0.8614917,943,0.01,0,"  0","  0",2.578646,22.536421
"517","HTI","5"," -2.3858969",2.282593,0.871056,933,0.01,0,"  0","  0",2.578646,28.783131
"518","HTI","6"," -1.7729120",3.0255699,1.151348,902,0.01,0.25,"  0","  0",2.578646,30.790279
"519","HTI","7"," -7.4909830",2.2884209,0.7622148,NA,0.01,1.75,"  0","  0",2.578646,35.98473
"530","IDN","2","  4.5736990",0.7943888,3.092134,715,0.76,0,"  0","  1",3.666667,7.235307
"531","IDN","3","  4.9217539",0.4667856,2.962908,892,0.76,0,"  0","  1",3.666667,12.79889
"532","IDN","4","  5.8263001",0.2930794,3.091598,1124,0.76,0,"  0","  1",3.666667,15.6983
"533","IDN","5","  3.2271061",0.2482695,3.245913,1487,0.76,0,"  0","  1",3.666667,16.67067
"534","IDN","6","  4.7668600",0.2605772,3.1779821,1687,0.76,0,"  0","  1",3.666667,20.11838
"535","IDN","7","  6.1029401",0.2898518,3.336103,1974,0.76,0,"  0","  1",3.666667,29.667431
"546","IND","2","  0.0997274",0.3459758,0.9405624,802,0.89,0.5,"  0","  0",5.760417,21.63537
"547","IND","3","  2.5127439",0.3692294,0.9038061,765,0.89,0.5,"  0","  0",5.760417,25.262461
"548","IND","4","  1.1642129",0.2875184,0.7846346,882,0.89,0.25,"  0","  0",5.760417,28.309059
"549","IND","5","  2.9019239",0.2314055,0.677059,936,0.89,2.75,"  0","  0",5.760417,37.10878
"550","IND","6","  4.2667198",0.171018,0.5907155,1092,0.89,1,"  0","  0",5.760417,40.73555
"551","IND","7","  1.4592090",0.1506343,0.67939,1264,0.89,1.25,"  0","  0",5.760417,45.98037
"570","JAM","2","  4.5908251",0.5035225,NA,2645,0.05,0,"  0","  0",4.696875,30.579981
"571","JAM","3"," -4.3769650",0.3799198,0.1285729,2922,0.05,0.75,"  0","  0",4.696875,34.846779
"572","JAM","4"," -2.2398601",1.529616,0.0079704,2601,0.05,0.25,"  0","  0",4.696875,33.027699
"573","JAM","5"," -2.1574850",2.3378971,0.2041072,2389,0.05,0,"  0","  0",4.696875,35.833019
"574","JAM","6","  3.9625130",2.3136151,NA,2218,0.05,0,"  0","  0",4.696875,47.32423
"575","JAM","7","  3.0565720",1.852656,NA,2545,0.05,0,"  0","  0",4.696875,47.513248
"594","KEN","2","  5.9891500",1.9004,0.9020833,586,0.83,0,"  1","  0",5.5625,24.321131
"595","KEN","3","  0.3382780",1.623956,0.781967,847,0.83,0.25,"  1","  0",5.5625,30.37916
"596","KEN","4","  1.9728540",2.2183521,0.7471299,898,0.83,0,"  1","  0",5.5625,29.985189
"597","KEN","5"," -1.4472910",2.376631,0.693974,860,0.83,0,"  1","  0",5.5625,32.627171
"598","KEN","6","  2.6231270",2.927494,0.7903143,857,0.83,0,"  1","  0",5.5625,28.39455
"599","KEN","7"," -1.4731970",2.9801171,1.302858,911,0.83,0.25,"  1","  0",5.5625,29.293381
"634","KOR","2","  7.8028722",0.7310022,3.197093,1680,0,0,"  0","  1",6.360938,23.85638
"635","KOR","3","  8.0327559",0.2045349,3.071913,2236,0,0.25,"  0","  1",6.360938,34.114792
"636","KOR","4","  4.5225258",0.114563,3.0281651,3083,0,0.25,"  0","  1",6.360938,31.452749
"637","KOR","5","  6.6518879",0.072884,3.2737629,3395,0,0,"  0","  1",6.360938,32.52034
"638","KOR","6","  8.7896233",0.0306532,3.405859,4622,0,0,"  0","  1",6.360938,35.166309
"639","KOR","7","  6.1177540",0.0530342,3.3004129,6673,0,0,"  0","  1",6.360938,36.83289
"690","LKA","2","  1.1937820",0.6860721,0.7218894,1243,0.47,0,"  0","  0",4.325521,26.318701
"691","LKA","3","  2.9369340",0.9759074,0.8198988,1297,0.47,0,"  0","  0",4.325521,24.033701
"692","LKA","4","  3.9235699",1.340456,2.277447,1497,0.47,0,"  0","  0",4.325521,20.622801
"693","LKA","5","  3.7420270",1.344761,0.9863998,1792,0.47,0.5,"  0","  0",4.325521,30.206881
"694","LKA","6","  1.1898460",1.342893,0.4660164,2048,0.47,1,"  0","  0",4.325521,31.12565
"695","LKA","7","  4.1670661",1.321839,2.2180929,2096,0.47,1.25,"  0","  0",4.325521,30.5156
"730","MAR","2","  1.4727460",1.043366,1.027375,1342,0.53,0.25,"  0","  0",4.303125,31.536261
"731","MAR","3","  4.3808799",0.8701968,0.3348713,1433,0.53,0,"  0","  0",4.303125,33.310299
"732","MAR","4","  1.0215920",1.143406,0.4047443,1819,0.53,0,"  0","  0",4.303125,39.066319
"733","MAR","5","  2.3321049",1.009147,1.67723,1954,0.53,0,"  0","  0",4.303125,42.802589
